Household,"Incredible Gifts India Wooden Happy Birthday Unique Personalized Gift (5 X 4 Inch) Size:4 x 5   Made Of Natural Imported Wood, Which Is Quite Solid With Light Particle Pattern & Is Soft Pale To Blond Colour. Your Uploaded Photo Will Look Amazing And Beautiful After Laser Engraving On It. This Is One Of The Most Popular Unique Gifts In Our Store. We Offer This In Multiple Sizes, Some Can Be Used As Table Top And The Big Sizes Can Be Used As Wall Hanging Which Just Blends With Your Home Decaration. You Just Need To Upload A Picture And Add Your Own Text And We Will Do The Rest For You. We Will Email You The Preview Before Making The Final Product. Do You Want The Best Moment Of Your Life To Be Engraved On A Wooden Plaque That Lasts For A Longer Time And Stays Close To You Forever? Then You Are At The Right Place. We Present To You Various Sizes Personalized Engraved Wooden Plaques Made With Birch Wood. Let Your Memories Be Engraved On Wooden Plaques And Stay With Your Forever."
Household,"Indianara Motivational Square Synthetic Wood Art Painting (23 cm x 23 cm x 6 cm, Set of 4, Multicolor)"
Household,"Lovely Arts Collection Hand Embroidered Cotton Thread Skeins for Craft Projects, Multicolour (Pack of 25) -LAC97 Package includes 25 skeins, two each of 12 colors. Each skein is 8 yards long. This quality embroidery floss can be used in a multitude of craft projects, including needlecraft, friendship bracelets, stringing beads, and more. Non-toxic."
Household,"Am Goelx Crystal Swarovski Colorful Jewelry Making Beads, Size 8mm Crystal swarovski colorful beads for jewelry making. Pack of 100 crystals in different colors"
Household,"Beadsnfashion Jewellery Making German Silver Bird Beads 14x7 mm, Pack of 50 Pcs. Available in a pack of 50 pcs"
Household,"Shining Diva Fashion Charm Bracelet for Girls (Gold)(8306b) Shining Diva presents this Genuine High Quality 18K Rose Gold plated bangle bracelet for girls and women. This bracelet can be used by girls as daily wear or party wear. Shining Diva is a well known brand across fashion jewellery sector. Shining Diva products are stylish and funky. This gold plated jewellery is studded with crystals stones. Shining Diva has huge collection of latest jewellery accessories. Shining Diva is pioneer of Imitation jewelleries and designer crystal pendent for girls. Shining Diva Fashion and Traditional jewelry give true value for your money. Buy Shining Diva trendy, artificial and semi precious jewellery from Amazon. These are also ideal for birthday gifts for girls, gift for girlfriend, wedding gifts and anniversary gifts."
Household,"Asian Hobby Crafts Cotton Candle Wicks Thread (3 Inch) Pack of 50 Color:3"" 50pcs   Asian Hobby Crafts candle wicks are pre tabbed and pre waxed wicks used for candle making. Available in 3"", 5"" and 7"" sizes for you to choose from according to your requirements. Low smoke production guaranteed. Made from braided cotton and firm base."
Household,"Veeana Floating Oil Wicks (Parsi Vat) Set of 1 Pack (500 Wicks) Best quality oil floating wicks from Veeana widely known as Parsi Vat, these unscented wicks are offered in a 500-piece per pack. Burning time of these wicks is depends on how much oil is used. These floating wicks do not produce smoke. Suitable for celebrating any occasion or festival. Can be used indoors and outdoors. Sitting alone or beside a loved one, amidst a cluster of flickering candle lights is an experience like no other. Gift yourself a few minutes of calm and serenity by lighting these wicks. These wicks are suitable for various festivals, occasions, home decor, parties etc Made from Premium Quality Wax. This set of 1 pack contains total 500 pieces of wicks."
Household,"Webby DIY Kitchen Ceramic Tea Set for Kids - 15 Pieces FULL MINI TEA SET: This tea set for children is perfect for little girls who not only want a beautiful mini ceramic tea set for dolls and tea parties, but are also artistic and want to have a great time designing their own custom set!COMPLETE CRAFT SET: This tea pot set comes with all the supplies needed to make a full doll sized tea set. Includes a teapot, a sugar pot, a milk pot, 4 cups, 4 saucers, 6 pots of colours, and a paintbrushPRETEND TEA SET: Have a great time playing pretend with the tea set and invite all your dolls over for a tea party! This extra large tea set will be thrilling to play with and reminder of the fun time they had painting it!"
Household,"Norpro Ceramic Butter Warmers, Set of 2, White Wonderful for butter and delicate sauces when serving seafood or vegetables. The ceramic dish maintains the heat, without scorching or curdling. Set includes two stands, two ceramic butter dishes and two tea lights. Each dish holds 3 ounces/1/3 cup.Dishwasher safe."
Household,"Alp Nitrile Self Adhesive Insulation Foam Tape, ECOTAPE, Class O, Width 2 inch x Thick 3 mm x Length 9.1 mtr, Pack of 1 pcs Item Package Quantity:1   Flexible elastomeric insulation for ducts and pipes. It is ideal for using in Window Acs, Split Acs, Plumbing etc. Used in heating, ventilation, acr systems, refrigeration and air conditioning etc. Easy to put on pipes. Please note image, size and color may slightly vary due to photographic lighting sources or photograph angle or your monitor settings or make."
Household,"Electomania 1 Set 4 Sizes Round Circle Hat Knitter Knitting Knit Loom Craft Kit With this knitting looms set, you can knit with a loom and a hook, create that you like, such as scarf, hat and so on... A great easy, funny, fantastic useful tool set for you  Good quality and new condition Come with 4 sizes, meet different needs  Comes complete with yarn needle and soft grip loom pick.  Color: Random 4 colors  Material: ABS Plastic  Size (Outer Dia.)13.5cm / 5.3""; 18.5cm/ 7.3""; 23.5cm/ 9.3""; 28.5cm/ 11.2""  Package Includes: 4x Circular knitting looms. 1x Yarn needle 1x Soft Grip Pick 1x User Manual"
Household,"SYGA 11 Sizes 5pcs/Size Double Point Carbonized Bamboo Knitting Needles Length 13cm This set of 11 sizes superior quality bamboo knitting needles with double point. Nice needles with smooth finish. The more you knit with them, the more you will love to knit.  Description:  - Double pointed needle for a smooth knitting - Size is permanently marked on needles - Material: Bamboo - Length: Approx. 5 inch / 13 cm - Quantity: 11 sets, 5pcs / per set  Package Includes: 11 x 5pcs bamboo knitting needles set  These sizes are in this set:  2.0mm 2.25mm 2.5mm 2.75mm 3.0mm 3.25mm 3.5mm 3.75mm 4.0mm 4.5mm 5.0mm"
Household,Anchor Stitch Kit-Feathered Beauties A range of over 300 D-I-Y kits with easy to make embroidery designs on canvas. Anchor Stitch kits contain everything you need to help you make your own special embroidery creation. Happy crafting.
Household,Party Propz Ribbon for Balloons/ Gift Wrapping / Crafts Decoration (Multicolour) - Set of 6
Household,"Spacewood Texas 2 Door Wardrobe (Woodpore Finish, Natural Wenge) This wardrobe is made of superior quality engineered wood. The wardrobe comes with mirror and has 3 storage shelves with hanging rod."
Household,"Arsh Portable And Collapsible Wardrobe Metal Frame 6 Racks Closet, Aw06, Blue With High Capacity Up To 70Kgs ARSH wardrobes brings the perfect solution for the storage of your daily usage and consumables, This portable wardrobe is a great storage unit to keep your bedroom neat and tidy with high capacity of 70-75kgs can be stored portable wardrobe comes along with 6 racks. Along with 2 years warranty, MADE IN INDIA."
Household,"Tarkan Classico Bedside Portable Table Cart Tray with Adjustable Height, Studying Overbed Breakfast Sofa Table (Beige)"
Household,"Bluewud Oliver Side Table (Wenge) Color:Wenge   Bluewud designs, manufactures and markets range of innovative and contemporary furniture and home decor products. Our designs complement and connect with our consumers' lifestyle, imagination and aspirations. Our manufacturing facility in India is located in Noida, Delhi NCR which is completely equipped with state of the art machinery."
Household,Nilkamal Gem Mirror Cabinet (Black) Size:Standard                                                                                 |                            Color:Black   Assembly required: product requires assemblyes with assembly instructions warranty: 6 months spare part replacement warranty provides versatile storage solution for small miscellaneous items
Household,"Cloth Fusion Fruton Cooling Gel Memory Foam Mattress, 78X60X6-inch (White)"
Household,"Smart Beans Regular Swing & Hammock (Brown), Outdoor & Indoor Space With Smart Beans Color:Brown   Bring comfort & style to your outdoor & indoor space with Smart beans Royal Hammock Swing. Everyone needs an outdoor hammock to help you enjoy those lazy days & this stylish & colorful hammock by Smart Beans is a perfect choice. It adds a touch of style to your garden & provides extra fun for both kids & adults. This one is just right for a hot summer day. Hang it in your verandah or garden and sip a drink or read a book as you sway with the breeze. The hammock is the product to enjoy for years as an incredible addition of relaxation to any place. Being a quality driven organization, conscious efforts are made towards enhancing the safety features as well as making the range suitable as per the changing customer preferences. We are offering our esteemed customers with a highly commendable range of products; there is a team of dedicated and experienced team of experts who take the responsibility of the quality checks of the products. We ensure to test all our products through stringent processes to offer only a highly commendable and durable range. The products are highly preferred in the global market for their premium quality and genuine base range. To ensure that we deliver a defect-free and technical sound range, we make our products to be tested as per the required quality standards and leveraging on the vast technical expertise we have acquired throughout our successful journey as a key player in the competitive market, we are offering a highly efficient and high-end product range."
Household,"Hangit Cotton Hammock (Natural, 335 Centimeters) Double Person Cotton Fabric Hammock with Natural Crochet. Made out of 100 percent Cotton fabric and Cotton ropes. This economical hammock is compact and very easy to carry, store and comes with a nice storage bag. Highly recommended for camping, outings and gift purposes. The styling is premium South American and it withstands a total weight capacity of nothing less than 400 lbs and is apt for double person use. What's more...the package includes a brand new hammock ready to hang in between trees or pillars or poles. This is a beautiful gorgeous handmade Mexican Brazilian south American hammock with handmade crochet, ideal for your outdoor and garden."
